date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-06-28 12:15:16+00:00,1022,12,"για τις αμβλώσεις δε δέχονται ελαφρυντικά για τις εν ψυχρώ δολοφονίες ανηλίκων, όμως, δέχονται.",2022,6,28,95,δέχονται,"αμβλώσεις,δέχονται"
2022-06-28 12:11:07+00:00,6035,71,στην αμερική απαγόρευσαν τις αμβλώσεις για να ισοφαρίσουν τις απώλειες από την οπλοκατοχή,2022,6,28,89,αμερική,"αμερική,απαγόρευσαν"
2022-06-28 12:06:57+00:00,6517,3,"το δυστυχημα ειναι οτι μεγαλο μερος του εθνο λουμπεναριού συμφωνει με την ελεεινη αποφαση των δικαστικων αρχων να αφησουν #κορκονεας ελευθερο

ειναι οι ιδιοι που βριζουν προσφυγες, που λυσσανε να καταργηθουν οι #αμβλωσεις, που δικαιολογουν γυναικοκτονιες

#γρηγοροπουλος",2022,6,28,270,δυστυχημα,"δυστυχημα,μεγαλο"
2022-06-28 12:06:54+00:00,117,0,@ac1nos αν κυοφορούσαν οι άνδρες δεν υπήρχε περίπτωση να απαγορεύονται οι αμβλώσεις .,2022,6,28,85,κυοφορούσαν,"κυοφορούσαν,άνδρες"
2022-06-28 12:03:40+00:00,320,0,"με αυτή τη μούρη και με αυτό τον τρόπο σκέψης λογικό να είσαι κατά των εκτρώσεων...και κουράγιο στη μαμά σου που το μετάνιωσε και σε κράτησε...
#αμβλωσεις #cancel_εκτρωσεις 
#γρηγοροπουλος #κορκονεας https://t.co/pg4buoi5lh",2022,6,28,223,αυτή,"αυτή,τη"
2022-06-28 12:01:11+00:00,78,0,κόντρα τσακαλώτου - βελόπουλου μετά την απόφαση των ηπα για τις αμβλώσεις https://t.co/zmcs5qsb6c,2022,6,28,97,κόντρα,"κόντρα,τσακαλώτου"
2022-06-28 11:55:07+00:00,5058,12,"για τις αμβλώσεις δε δέχονται ελαφρυντικά για τις εν ψυχρώ δολοφονίες ανηλίκων, όμως, δέχονται.",2022,6,28,95,δέχονται,"αμβλώσεις,δέχονται"
2022-06-28 11:53:04+00:00,1029,12,"για τις αμβλώσεις δε δέχονται ελαφρυντικά για τις εν ψυχρώ δολοφονίες ανηλίκων, όμως, δέχονται.",2022,6,28,95,δέχονται,"αμβλώσεις,δέχονται"
2022-06-28 11:50:37+00:00,36,0,"γιατί η γνώμη της #μουτίδου είναι πιο σημαντική από την δική μου για τα κοινωνικά ζητήματα?

γιατί μια κυρία που θελει να λέγεται φεμινιστρια, εκφραζεται για αλλες ως ""αγάμητες""?

κ μετα απο αυτο πιανουμε ενα θεμα σοκ σχετικα με τις αμβλωσεις για ν'ανεβει το επιπεδο

μάλιστα 🙄😬",2022,6,28,278,γιατί,"γιατί,γνώμη"
2022-06-28 11:39:58+00:00,182,1,t.g.   «βόμβα» από σ.λουκίδη: «δεν ξέρουμε τι περιέχουν τά εμβόλια-`αγνωστες  https://t.co/inecylmlgj #pfizer #moderna #ηπα #κρουσματα #εμβολιασμος #εμβολιο #covid_19 #ανεμβολιαστοι #εμβολιασμενοι   #lockdown  #κορωνοιος  #ξαφνικιτιδα  #αμβλωσεις #υγειονομικοι_σε_αναστολη https://t.co/uunnfdgsxu,2022,6,28,296,βόμβα,"βόμβα,από"
2022-06-28 11:39:54+00:00,210,5,"επειδή προβλέπω οπαδούς του κασιδιάρη να στρεβλώνουν τα λόγια του προέδρου της ελληνικής λύσης, το λέω από τώρα: δεν ζητά άμεσα να ποινικοποιηθούν οι #αμβλωσεις από τη βουλή, αλλά να γίνει δημοψήφισμα για να πάρουν το μήνυμα ότι η πλειοψηφία στέκεται κατα των εκτρωσεων! https://t.co/pxztyijjti",2022,6,28,294,από,"επειδή,προβλέπω"
2022-06-28 11:32:23+00:00,30,0,"@chiguire79 ή στην αμερικανική. supreme court κ αμβλώσεις.
γενικά είναι τρομακτικό να παραδίδεις τον εαυτό σου σε μια εξουσία.",2022,6,28,126,ή,"ή,αμερικανική"
2022-06-28 11:31:14+00:00,1112,0,"πόσες χώρες έχουν αυστηροποιήσει τους νόμους για τις αμβλώσεις; τέσσερις
https://t.co/cr2fvdupai https://t.co/pjqtqcjkic",2022,6,28,120,πόσες,"πόσες,χώρες"
2022-06-28 11:31:01+00:00,15005,2,πρέπει να είσαι ανοξείδωτος βλαξ για να συνδέεις το ζήτημα της υπογεννητικότητας με τις αμβλώσεις.,2022,6,28,98,πρέπει,"πρέπει,είσαι"
2022-06-28 11:28:13+00:00,1221,0,πόσες χώρες έχουν αυστηροποιήσει τους νόμους για τις αμβλώσεις; τέσσερις https://t.co/lm67hpfbr3,2022,6,28,96,πόσες,"πόσες,χώρες"
2022-06-28 11:28:00+00:00,194,228,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,6,28,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-06-28 11:27:08+00:00,744,0,#eleni οι αμβλώσεις είναι δολοφονία..αλλιώς αν δεν θέλετε εγκυμοσύνες να τις προλαβαίνετε! υπάρχουν προφυλάξεις για ανθρώπους που σκέφτονται πριν πηδηχτούν! επίσης το θέμα αυτό είναι αντίθετο με το προηγούμενο της αναδοχής! πόσο υποκριτές και δήθεν είστε εντέλει? μόνο ξέρασμα..🤮,2022,6,28,279,είναι,"αμβλώσεις,είναι"
2022-06-28 11:26:44+00:00,8321,2,πρέπει να είσαι ανοξείδωτος βλαξ για να συνδέεις το ζήτημα της υπογεννητικότητας με τις αμβλώσεις.,2022,6,28,98,πρέπει,"πρέπει,είσαι"
2022-06-28 11:26:26+00:00,204103,0,πόσες χώρες έχουν αυστηροποιήσει τους νόμους για τις αμβλώσεις; τέσσερις https://t.co/3ssgas7wha #naftemporiki,2022,6,28,110,πόσες,"πόσες,χώρες"
2022-06-28 11:25:08+00:00,817,7,απίστευτη δήλωση κυριάκου βελόπουλου για τις εκτρώσεις #αμβλωσεις #εκτρωσεις https://t.co/2jmothikq3,2022,6,28,100,απίστευτη,"απίστευτη,δήλωση"
2022-06-28 11:25:02+00:00,966,0,με αυτό το σκίτσο απαντάει το charlie hebdo για τις αμβλώσεις και την απόφαση στις ηπα https://t.co/c7ibgmznte,2022,6,28,110,αυτό,"αυτό,σκίτσο"
