date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-07-01 19:58:17,183,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 19:13:24,2183,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 19:10:46,1604,4,"καλά το χουμε χάσει τελειως...
ιερέας θεωρεί προτιμότερες τις παιδοκτονίες από τις αμβλώσεις!?",2022,7,1,94,καλά,"καλά,χουμε"
2022-07-01 19:04:48,386,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 19:00:50,4749,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 18:12:37,58,62,"όσοι διαμαρτυρηθήκατε  για τις αμβλώσεις στην αμερική ( οι οποιες δεν απαγορεύθηκαν) αλλά εδώ δεν βγάζετε άχνα για το πρόστιμο για τους 60+ που δεν θέλουν να κάνουν ένα αναποτελεσματικό εμβόλιο με χιλιες δυο παρενέργειες, είστε  και υποκριτές και μαλακες . σορρυ νοτ σορρυ.",2022,7,1,273,σορρυ,"όσοι,διαμαρτυρηθήκατε"
2022-07-01 18:01:52,8,6,"novartis
αμφίστομη μάχαιρα πολιτικού εκφυλισμού.
μυρίζει πάγιατ, από την αρχή.
αντιπερισπασμός στην εκχώρηση της μακεδονικής ταυτότητας και τελικά, προεκλογικό παιχνίδι που αλλάζει χέρια όπως η μπάλα στο βόλεϊ.
δε θυμίζει λίγο τις αμβλώσεις στις ηπα;",2022,7,1,250,αμφίστομη,"αμφίστομη,μάχαιρα"
2022-07-01 17:59:30,1019,6,"novartis
αμφίστομη μάχαιρα πολιτικού εκφυλισμού.
μυρίζει πάγιατ, από την αρχή.
αντιπερισπασμός στην εκχώρηση της μακεδονικής ταυτότητας και τελικά, προεκλογικό παιχνίδι που αλλάζει χέρια όπως η μπάλα στο βόλεϊ.
δε θυμίζει λίγο τις αμβλώσεις στις ηπα;",2022,7,1,250,αμφίστομη,"αμφίστομη,μάχαιρα"
2022-07-01 17:43:03,773,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:39:44,88,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:29:47,970,6,"novartis
αμφίστομη μάχαιρα πολιτικού εκφυλισμού.
μυρίζει πάγιατ, από την αρχή.
αντιπερισπασμός στην εκχώρηση της μακεδονικής ταυτότητας και τελικά, προεκλογικό παιχνίδι που αλλάζει χέρια όπως η μπάλα στο βόλεϊ.
δε θυμίζει λίγο τις αμβλώσεις στις ηπα;",2022,7,1,250,αμφίστομη,"αμφίστομη,μάχαιρα"
2022-07-01 17:28:57,1038,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:27:17,35,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 17:20:32,4197,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:18:30,1612,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:14:56,92,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 17:12:56,1624,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 17:12:36,7673,6,"novartis
αμφίστομη μάχαιρα πολιτικού εκφυλισμού.
μυρίζει πάγιατ, από την αρχή.
αντιπερισπασμός στην εκχώρηση της μακεδονικής ταυτότητας και τελικά, προεκλογικό παιχνίδι που αλλάζει χέρια όπως η μπάλα στο βόλεϊ.
δε θυμίζει λίγο τις αμβλώσεις στις ηπα;",2022,7,1,250,αμφίστομη,"αμφίστομη,μάχαιρα"
2022-07-01 17:02:01,15890,7,"-καλώς ήρθατε στο μεσαίωνα 
-αμερική δεν είναι εδώ?
-το ίδιο λέμε 
#αμβλωσεις",2022,7,1,77,καλώς,"καλώς,ήρθατε"
2022-07-01 16:55:34,5543,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 16:55:14,3318,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 16:52:53,7515,26,"500€ ενοίκιο στο σουνιο ,220€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 560€ προφυλακτικά ,167€ λιπαντικά,0€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,206,ενοίκιο,"ενοίκιο,σουνιο"
2022-07-01 16:52:13,56,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 16:47:55,9249,4,"καλά το χουμε χάσει τελειως...
ιερέας θεωρεί προτιμότερες τις παιδοκτονίες από τις αμβλώσεις!?",2022,7,1,94,καλά,"καλά,χουμε"
2022-07-01 16:43:23,2439,10,"για την απόφαση του ανώτατου δικαστηρίου σχετικά με τις #αμβλώσεις στην αμερικη ξεσηκώθηκε το ελληνικο πολιτικο συστημα.
για την απόφαση του ανώτατου δικαστηρίου της ελλαδας να μην προστατέψει τα προνόμια των #πολυτέκνων..σιγή.",2022,7,1,227,απόφαση,"απόφαση,ανώτατου"
2022-07-01 16:24:22,9540,68,βαρύ πράμα το μυαλό και θέτε και να το κουβαλάμε και να το λαδώνουμε και να το δουλεύουμε δηλαδή ααα δεν ξέρω κουράζομαι κάτσε να δω τι λέει ο σκάι για τις αμβλώσεις,2022,7,1,165,βαρύ,"βαρύ,πράμα"
2022-07-01 16:21:44,96,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 16:18:05,1987,68,βαρύ πράμα το μυαλό και θέτε και να το κουβαλάμε και να το λαδώνουμε και να το δουλεύουμε δηλαδή ααα δεν ξέρω κουράζομαι κάτσε να δω τι λέει ο σκάι για τις αμβλώσεις,2022,7,1,165,βαρύ,"βαρύ,πράμα"
2022-07-01 16:15:58,2096,68,βαρύ πράμα το μυαλό και θέτε και να το κουβαλάμε και να το λαδώνουμε και να το δουλεύουμε δηλαδή ααα δεν ξέρω κουράζομαι κάτσε να δω τι λέει ο σκάι για τις αμβλώσεις,2022,7,1,165,βαρύ,"βαρύ,πράμα"
2022-07-01 16:15:05,956,18,"έπειτα από τις αμβλώσεις, τον περιορισμό οπλοκατοχής και τη σχολική ανεξιθρησκεία, η αντιδραστική, υπερσυντηρητική πλειοψηφία του ανώτατου δικαστηρίου των ηπα αποφάσισε να τα βάλει και με την αντιμετώπιση της κλιματικής αλλαγής.

γράφει ο ανδρέας κοσιάρης
https://t.co/guvs5rrmkk",2022,7,1,279,έπειτα,"έπειτα,από"
2022-07-01 16:13:19,2601,18,"σκεφτόμασταν με δέος το 2000, λέγαμε θα μπούμε στον 21ο αιώνα και ότι δήθεν κάτι θα άλλαζε και φτάσαμε στο 2022 και συζητάμε για το δικαίωμα στις #αμβλώσεις.",2022,7,1,157,σκεφτόμασταν,"σκεφτόμασταν,δέος"
2022-07-01 16:11:46,29236,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
2022-07-01 16:07:30,295,657,"380€ ενοίκιο , 20€ internet, 20€ κοινόχρηστα, 400€ μηνιαίος εκκαθαριστικός #δεη , 900€ μισθός. και συζητάμε για #αμβλώσεις ; εννοείται δε μπορώ να κάνω οικογένεια.",2022,7,1,163,ενοίκιο,"ενοίκιο,κοινόχρηστα"
